traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time
960,1,2.8841444255606845,1,1,88.91279239400099,Clear,Snow,2025-01-01 00:00:00
3872,1,13.131147836965816,0,1,57.88067545119405,Clouds,Snow,2025-01-01 01:00:00
3192,0,33.413625270419026,0,0,63.239132432838744,Snow,Overcast clouds,2025-01-01 02:00:00
566,0,26.358453488315398,1,1,15.647671600360058,Snow,Snow,2025-01-01 03:00:00
4526,0,27.135326059999052,1,0,47.39212201161027,Rain,Light rain,2025-01-01 04:00:00
3544,0,11.274666722403769,0,0,71.6397111958099,Snow,Clear sky,2025-01-01 05:00:00
3271,1,7.296749627348145,0,0,27.09426983163654,Clouds,Snow,2025-01-01 06:00:00
3019,0,8.551938149230136,0,0,20.22541805245349,Snow,Overcast clouds,2025-01-01 07:00:00
230,0,39.38247818680289,0,0,31.382680822441557,Rain,Clear sky,2025-01-01 08:00:00
1785,1,-7.994540429375876,1,1,24.150062799283344,Clouds,Snow,2025-01-01 09:00:00
869,1,33.35157480612243,0,1,21.491263703639586,Clear,Overcast clouds,2025-01-01 10:00:00
2491,1,18.93377042861967,0,0,42.48508428680869,Rain,Snow,2025-01-01 11:00:00
2533,1,11.930770959479524,0,1,90.78385138835341,Clear,Clear sky,2025-01-01 12:00:00
1284,0,26.262883020756824,1,0,50.705964673871826,Clouds,Clear sky,2025-01-01 13:00:00
4655,0,14.333447071235142,1,1,18.792038081532304,Rain,Clear sky,2025-01-01 14:00:00
3485,1,33.67116190408303,0,0,7.697166938087408,Rain,Light rain,2025-01-01 15:00:00
4217,0,35.035093200562926,0,1,69.61561451379252,Clouds,Snow,2025-01-01 16:00:00
4943,0,11.08604634367277,0,0,38.279876443638784,Snow,Light rain,2025-01-01 17:00:00
3004,0,3.841389861752578,1,0,82.18309465853592,Rain,Clear sky,2025-01-01 18:00:00
574,1,19.61751642966811,1,1,65.95107686407702,Rain,Overcast clouds,2025-01-01 19:00:00
1182,0,35.61816728083455,1,1,79.62414505413685,Clear,Snow,2025-01-01 20:00:00
2658,1,0.5331094502833285,0,0,27.194603941844875,Snow,Light rain,2025-01-01 21:00:00
2147,0,21.148329178174137,1,1,69.2358922461058,Clear,Snow,2025-01-01 22:00:00
2847,0,21.578011004626028,0,0,26.406198469371876,Clear,Overcast clouds,2025-01-01 23:00:00
1075,0,26.65565112076405,0,1,93.90684794502916,Snow,Light rain,2025-01-02 00:00:00
1906,1,-3.42161574363701,0,1,63.63742815333744,Snow,Clear sky,2025-01-02 01:00:00
289,0,25.79124823410443,1,0,32.451180017534206,Clouds,Light rain,2025-01-02 02:00:00
2834,1,35.45162603328205,0,1,26.951186229227265,Snow,Snow,2025-01-02 03:00:00
3105,1,-1.0158445564879024,1,1,19.09265850716435,Rain,Snow,2025-01-02 04:00:00
4758,1,1.877166246193882,1,0,69.46409588937279,Snow,Snow,2025-01-02 05:00:00
1999,0,38.56975470208198,0,1,21.87156129979273,Clouds,Snow,2025-01-02 06:00:00
1367,0,-0.9511523645255124,0,0,59.53032659274891,Clouds,Clear sky,2025-01-02 07:00:00
1628,0,32.71925466847895,1,0,26.463502692535734,Clouds,Light rain,2025-01-02 08:00:00
3302,0,14.613892822401738,0,0,66.19689447938686,Snow,Clear sky,2025-01-02 09:00:00
3656,1,2.3615537201588523,1,0,81.49397285405392,Snow,Clear sky,2025-01-02 10:00:00
3990,1,33.53749506362557,0,0,77.80252431446532,Clear,Clear sky,2025-01-02 11:00:00
746,1,12.265262750133274,1,1,76.08513309307817,Clear,Snow,2025-01-02 12:00:00
2988,0,15.74086769648451,1,0,18.772240569225207,Rain,Snow,2025-01-02 13:00:00
2535,1,7.961668469988286,1,0,8.838494698451871,Clear,Snow,2025-01-02 14:00:00
700,0,19.64754257174637,1,1,69.89488284873856,Rain,Light rain,2025-01-02 15:00:00
2463,1,-1.823806370748862,0,1,36.83472137943513,Clouds,Overcast clouds,2025-01-02 16:00:00
2161,0,9.554076832588034,0,1,43.23462264033473,Clear,Snow,2025-01-02 17:00:00
341,0,38.470616116764376,1,0,3.1149092793391064,Snow,Light rain,2025-01-02 18:00:00
2141,1,2.9066716350563766,1,0,25.95764492750492,Clear,Snow,2025-01-02 19:00:00
2924,1,22.83683322706461,0,0,3.3676403874464023,Rain,Snow,2025-01-02 20:00:00
2712,1,6.259503211234744,0,1,87.91857726012476,Clear,Clear sky,2025-01-02 21:00:00
1463,1,28.67365628433003,0,0,24.339668321853047,Clouds,Clear sky,2025-01-02 22:00:00
1578,0,-3.456316964082509,0,1,55.73371695730081,Snow,Clear sky,2025-01-02 23:00:00
2656,1,38.491052253927236,0,0,3.897932066113041,Rain,Light rain,2025-01-03 00:00:00
875,1,12.689477069181962,0,1,66.6847391305658,Snow,Overcast clouds,2025-01-03 01:00:00
4114,1,1.8025231673231978,1,0,32.30273457540939,Snow,Overcast clouds,2025-01-03 02:00:00
134,0,-6.325162633499367,0,0,89.79191869576658,Rain,Light rain,2025-01-03 03:00:00
3252,0,-1.5121047456229633,0,0,88.81181889340358,Snow,Snow,2025-01-03 04:00:00
2055,1,15.988697427800883,1,1,32.529061836174776,Snow,Light rain,2025-01-03 05:00:00
1685,0,6.850158821564314,0,1,90.09608956904678,Clear,Snow,2025-01-03 06:00:00
4043,1,31.44416829413047,0,0,99.61576734987788,Snow,Light rain,2025-01-03 07:00:00
3173,0,11.544376183090296,0,0,82.5415664123948,Snow,Light rain,2025-01-03 08:00:00
1121,0,2.435713629381496,0,0,84.4871347755229,Snow,Light rain,2025-01-03 09:00:00
3561,0,20.8572493302015,0,1,24.90087361090899,Snow,Overcast clouds,2025-01-03 10:00:00
2713,0,25.33886084427229,1,0,57.67023988577563,Rain,Clear sky,2025-01-03 11:00:00
3943,1,-1.6479046049525063,0,0,6.725591396736785,Clouds,Light rain,2025-01-03 12:00:00
1600,1,-1.6190391855841177,1,0,9.491793682166971,Clear,Overcast clouds,2025-01-03 13:00:00
4898,1,-8.166428653322852,1,0,99.88926120332906,Snow,Clear sky,2025-01-03 14:00:00
261,0,26.820100753282027,0,1,32.663924942591095,Snow,Clear sky,2025-01-03 15:00:00
4397,1,23.190226381090255,1,1,74.81839120488463,Rain,Light rain,2025-01-03 16:00:00
2081,1,13.731543787490693,0,0,80.66650530268164,Clouds,Snow,2025-01-03 17:00:00
1095,1,32.20852244845986,1,0,85.80232710072292,Snow,Snow,2025-01-03 18:00:00
3442,0,30.28350764750266,1,1,99.76282974021565,Rain,Snow,2025-01-03 19:00:00
4651,0,19.267718219837608,0,1,24.149648525686786,Clear,Light rain,2025-01-03 20:00:00
3898,0,33.41356402566293,0,0,4.035082685969971,Clear,Snow,2025-01-03 21:00:00
1375,1,0.2920605018384119,0,1,41.1191517994586,Snow,Overcast clouds,2025-01-03 22:00:00
1116,1,-4.404019030113606,0,1,13.008066982894695,Snow,Overcast clouds,2025-01-03 23:00:00
437,1,3.4874805758494816,0,0,2.2425889162055124,Clouds,Overcast clouds,2025-01-04 00:00:00
978,0,-7.145657195534257,1,1,36.04268271414861,Clouds,Overcast clouds,2025-01-04 01:00:00
1176,0,16.5584764000516,1,1,78.37382510752364,Snow,Clear sky,2025-01-04 02:00:00
4987,1,36.830284614748074,1,0,56.61806912250709,Rain,Overcast clouds,2025-01-04 03:00:00
4093,0,-8.032822966574518,1,0,31.277798921035405,Clouds,Snow,2025-01-04 04:00:00
4959,0,-3.89450429949866,1,1,65.43420054927196,Snow,Light rain,2025-01-04 05:00:00
479,0,12.609951414171764,1,0,23.20181803088107,Clouds,Snow,2025-01-04 06:00:00
592,0,36.69375087639524,1,1,1.4381446072085025,Snow,Overcast clouds,2025-01-04 07:00:00
